,name,price,shop
25,['\t\n双飞燕（A4TECH）WKM-1000 键鼠套装 有线键鼠套装 办公键鼠套装 便携 防泼溅 商务 黑色'],['69.00'],['双飞燕京东自营官方旗舰店']
26,"['\t\n雷柏（Rapoo） V500PRO 机械', ' 有线', ' 游戏', ' 104键混光', ' 吃鸡', ' 电脑', ' 黑色 茶轴']",['159.00'],['雷柏京东自营官方旗舰店']
27,"['\t\n现代翼蛇（HYesir）HY-MA75键鼠套装 有线键鼠套装 办公', '鼠标 usb通用 防水泼 经典爆款']",['27.90'],['现代翼蛇京东自营旗舰店']
28,"['\t\n达尔优（dareu）机械师合金版 机械', ' 有线', ' 游戏', ' 108键 单光 全键无冲 吃鸡', ' 黑银黑轴']",['149.00'],['达尔优京东自营旗舰店']
29,"['\t\n雷柏（Rapoo） V500PRO 机械', ' 有线', ' 游戏', ' 104键混光', ' 吃鸡', ' 电脑', ' 黑色 红轴']",['159.00'],['雷柏京东自营官方旗舰店']
30,"['\t\n雷柏（Rapoo） V500PRO 机械', ' 有线', ' 游戏', ' 104键混光', ' 吃鸡', ' 电脑', ' 黑色 红轴']",['159.00'],['雷柏京东自营官方旗舰店']
31,"['\t\n罗技（Logitech）K380 ', ' 无线蓝牙', ' 办公', ' 女性 便携 超薄', ' 笔记本', ' 深灰色']",['179.00'],['罗技京东自营旗舰店']
32,"['\t\nikbc C104 机械', ' 有线', ' 游戏', ' 104键 原厂cherry轴 樱桃轴 吃鸡神器 笔记本', ' 黑色 红轴']",['388.00'],['ikbc京东自营旗舰店']
33,"['新盟游戏', '鼠标套装有线金属电竞背光牧马人吃鸡机械手感', '电脑网吧usb键鼠套装lol外设耳机三件套 金属灰混光', '+牧马人G3鼠标']",['89.00'],['敏涛数码专营店']
34,"['\t\n方正(iFound)F6151键鼠套装 有线', '鼠标套装 办公鼠标', ' 104键有线套装usb数字电脑', '外设1000DPI 鼠标']",['29.90'],['方正（iFound）外设京东自营旗舰店']
35,['\t\n罗技（Logitech）MK235 键鼠套装 无线键鼠套装 办公键鼠套装 全尺寸 黑灰色 自营 带无线2.4G接收器'],['99.00'],['罗技京东自营旗舰店']
36,"['达尔优（dareu）机械师合金版 机械', ' 有线', ' 游戏', ' 108键 单光 全键无冲 吃鸡', ' 黑银黑轴']",['149.00'],['达尔优京东自营旗舰店']
37,"['\t\nikbc C87 机械', ' 有线', ' 游戏', ' 87键 原厂cherry轴 樱桃轴 吃鸡神器 笔记本', ' 白色 红轴']",['318.00'],['ikbc京东自营旗舰店']
38,['\t\n罗技（Logitech）MK470 键鼠套装 无线键鼠套装 超薄 全尺寸 星空灰 带无线2.4G接收器'],['299.00'],['罗技京东自营旗舰店']
39,['\t\n罗技（Logitech）MK220 键鼠套装 无线键鼠套装 办公键鼠套装 黑色 带无线2.4G接收器'],['99.00'],['罗技京东自营旗舰店']
40,"['\t\n达尔优（dareu）DK100 机械', ' 有线', ' 游戏', ' 87键 无光 双色注塑 电脑', '  黑色黑轴']",['99.00'],['达尔优京东自营旗舰店']
41,"['\t\n雷柏（Rapoo） V500合金版 机械', ' 有线', ' 游戏', ' 87键 吃鸡', ' 电脑', ' 笔记本', ' 黑色 茶轴']",['99.00'],['雷柏京东自营官方旗舰店']
42,"['联想（lenovo）有线', '鼠标套装 ', ' 键鼠套装  办公鼠标', '套装 KM4800', ' 电脑', '笔记本']",['59.00'],['联想京东自营旗舰店']
43,"['\t\n现代（HYUNDAI）有线', 'USB无边框', ' 笔记本台式电脑通用', '黑色HY-KA7黑色']",['19.90'],['现代京东京东自营旗舰店']
